address,capacity,lat,lon,name,project
Av. Brigadeiro Faria Lima,55,-23.5667969,-46.6936916,1 - Largo da Batata,BikeSampa
R. Gilberto Sabino,15,-23.5664009,-46.7012455,3 - CPTM Pinheiros,BikeSampa
4 - Rua Diogo Moreira,23,-23.568866,-46.692149,4 - Rua Diogo Moreira,BikeSampa
Travessa da R. Butantã,15,-23.5696313,-46.6980166,5 - Rua Butantã,BikeSampa
6 - Rua Manduri,19,-23.572252,-46.690362,6 - Rua Manduri,BikeSampa
Av. Rebouças,19,-23.5725665,-46.6936955,7 - Praça Joaquim Roberto,BikeSampa
9 - R. Grécia,23,-23.5755326,-46.687426,9 - R. Grécia,BikeSampa
Rua Campo Verde,15,-23.575567,-46.6907281,10 - Rua Campo Verde,BikeSampa
Rua Cardeal Arcoverde / esquina com Av. Brigadeiro Faria Lima,19,-23.5654929,-46.6942395,11 - Praça Faria Lima,BikeSampa
12 - Largo de Batata II,65,-23.566151,-46.693992,12 - Largo de Batata II,BikeSampa
R. Angelina Maffei Vita,23,-23.5795465,-46.6906742,13 - Esporte Clube Pinheiros Funcionários,BikeSampa
14 - Casa Brasileira,17,-23.5803111,-46.6851625,14 - Casa Brasileira,BikeSampa
15 - Rua Professor Artur Ramos,19,-23.5824487,-46.686837,15 - Rua Prof. Artur Ramos,BikeSampa
R. Hans Nobiling,19,-23.5825155,-46.6912684,16 - Esporte Clube Pinheiros Boliche,BikeSampa
R. José Gonçalves de Oliveira,23,-23.5842942,-46.6828306,17 - Rua José Gonçalves de Oliveira,BikeSampa
18 - Itaú Faria Lima,23,-23.586612,-46.683715,18 - Itaú Faria Lima,BikeSampa
R. Funchal,15,-23.5957151,-46.6906164,19 - Av. Dr. Cardoso de Melo,BikeSampa
20 - CPTM Cidade Jardim,19,-23.585076,-46.690391,20 - CPTM Cidade Jardim,BikeSampa
Av. Henrique Chamma,23,-23.58947,-46.688389,21 - Parque do Povo portão 1,BikeSampa
Rua Leopoldo Couto de Magalhães Junior,15,-23.58921,-46.68402,22 - Rua Leopoldo Couto,BikeSampa
Rua Gomes de Carvalho,47,-23.5938149,-46.6912616,23 - CPTM Vila Olímpia,BikeSampa
