,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_RADIO,QT_GEL1,QT_GEL2,QT_TVCOR,QT_FREEZ,QT_VIDEO,QT_BANHO,QT_MOTO,QT_AUTO,QT_ASPIR,QT_MLAVA,QT_EMPRE,QT_MICRO,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIASEMANA,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,ANDA_O,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM,orig_lat,orig_lon,dest_lat,dest_lon,HORA_SAIDA,HORA_CHEG
5,1,36,-23.55205441326323,-46.62829332094061,0010019,1,17.67677,19,6,2007-08-16,1,3,1,001001901,1,17.67677,1,3,1,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7,0.0,0.0,0.0,881.83,3,00100190101,1,21.43708,1,1,42,1,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,24.0,36.0,-23.558833302943377,-46.634727958144175,2.0,2.0,513.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.91569,5,4,1.0,36.0,-23.55205441326323,-46.62829332094061,24.0,36.0,-23.558833302943377,-46.634727958144175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,2.0,2.0,2.0,15,0,0,0,1.0,1.0,1800,15,4.0,0.0,0.0,0.0,1.0,3.0,997.57,6,-23.55205441326323,-46.62829332094061,-23.558833302943377,-46.634727958144175,09:30:00,10:00:00
6,1,36,-23.55205441326323,-46.62829332094061,0010019,0,17.67677,19,6,2007-08-16,1,3,1,001001901,0,17.67677,1,3,1,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7,0.0,0.0,0.0,881.83,3,00100190101,0,21.43708,1,1,42,1,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,24.0,36.0,-23.558833302943377,-46.634727958144175,2.0,2.0,513.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.91569,5,4,24.0,36.0,-23.558833302943377,-46.634727958144175,1.0,36.0,-23.55205441326323,-46.62829332094061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,2.0,2.0,2.0,15,0,0,0,1.0,1.0,1800,15,4.0,0.0,0.0,0.0,1.0,3.0,997.57,7,-23.558833302943377,-46.634727958144175,-23.55205441326323,-46.62829332094061,15:00:00,15:30:00
7,1,36,-23.55205441326323,-46.62829332094061,0010019,0,17.67677,19,6,2007-08-16,1,3,1,001001901,0,17.67677,1,3,1,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7,0.0,0.0,0.0,881.83,3,00100190101,0,21.43708,1,1,42,1,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,24.0,36.0,-23.558833302943377,-46.634727958144175,2.0,2.0,513.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.91569,5,4,1.0,36.0,-23.55205441326323,-46.62829332094061,24.0,36.0,-23.558833302943377,-46.634727958144175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,2.0,2.0,2.0,15,0,0,0,1.0,1.0,1800,15,4.0,0.0,0.0,0.0,1.0,3.0,997.57,8,-23.55205441326323,-46.62829332094061,-23.558833302943377,-46.634727958144175,18:30:00,19:00:00
8,1,36,-23.55205441326323,-46.62829332094061,0010019,0,17.67677,19,6,2007-08-16,1,3,1,001001901,0,17.67677,1,3,1,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7,0.0,0.0,0.0,881.83,3,00100190101,0,21.43708,1,1,42,1,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,24.0,36.0,-23.558833302943377,-46.634727958144175,2.0,2.0,513.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.91569,5,4,24.0,36.0,-23.558833302943377,-46.634727958144175,1.0,36.0,-23.55205441326323,-46.62829332094061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,2.0,2.0,2.0,15,0,0,0,1.0,1.0,1800,15,4.0,0.0,0.0,0.0,1.0,3.0,997.57,9,-23.558833302943377,-46.634727958144175,-23.55205441326323,-46.62829332094061,23:45:00,00:15:00
300,2,36,-23.53616843284457,-46.63189784390519,0021006,0,25.67317,1006,6,2008-04-15,1,4,1,002100601,0,25.67317,1,4,2,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1,5,0.0,0.0,0.0,1768.7,3,00210060102,1,24.9069,2,3,18,1,1,4,1,3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,36.0,-23.530544178465817,-46.63844496838006,2.0,2.0,925.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.94857,2,2,2.0,36.0,-23.53616843284457,-46.63189784390519,7.0,36.0,-23.530544178465817,-46.63844496838006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,2.0,2.0,2.0,15,0,0,0,0.0,0.0,600,15,4.0,0.0,0.0,0.0,1.0,3.0,913.72,301,-23.53616843284457,-46.63189784390519,-23.530544178465817,-46.63844496838006,07:30:00,07:40:00
301,2,36,-23.53616843284457,-46.63189784390519,0021006,0,25.67317,1006,6,2008-04-15,1,4,1,002100601,0,25.67317,1,4,2,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1,5,0.0,0.0,0.0,1768.7,3,00210060102,0,24.9069,2,3,18,1,1,4,1,3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,36.0,-23.530544178465817,-46.63844496838006,2.0,2.0,925.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.94857,2,2,7.0,36.0,-23.530544178465817,-46.63844496838006,2.0,36.0,-23.53616843284457,-46.63189784390519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,2.0,2.0,2.0,15,0,0,0,0.0,0.0,600,15,4.0,0.0,0.0,0.0,1.0,3.0,913.72,302,-23.530544178465817,-46.63844496838006,-23.53616843284457,-46.63189784390519,17:00:00,17:10:00
806,3,36,-23.554526860546552,-46.62847072114562,0031109,1,81.41383,1109,6,2008-03-18,1,1,1,003110901,1,81.41383,1,1,2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,7,0.0,0.0,0.0,560.0,1,00311090101,1,77.50361,1,1,36,1,1,2,1,1,560.0,0.0,0.0,0.0,0.0,0.0,279.0,36.0,-23.88080938882378,-46.64379694556689,2.0,1.0,925.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.08019,2,2,3.0,36.0,-23.554526860546552,-46.62847072114562,279.0,36.0,-23.88080938882378,-46.64379694556689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,2.0,2.0,2.0,15,0,0,0,0.0,0.0,1800,15,4.0,0.0,0.0,0.0,1.0,3.0,36168.89,807,-23.554526860546552,-46.62847072114562,-23.88080938882378,-46.64379694556689,16:00:00,16:30:00
807,3,36,-23.554526860546552,-46.62847072114562,0031109,0,81.41383,1109,6,2008-03-18,1,1,1,003110901,0,81.41383,1,1,2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,7,0.0,0.0,0.0,560.0,1,00311090101,0,77.50361,1,1,36,1,1,2,1,1,560.0,0.0,0.0,0.0,0.0,0.0,279.0,36.0,-23.88080938882378,-46.64379694556689,2.0,1.0,925.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,90.08019,2,2,279.0,36.0,-23.88080938882378,-46.64379694556689,3.0,36.0,-23.554526860546552,-46.62847072114562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,2.0,2.0,2.0,15,0,0,0,0.0,0.0,900,15,4.0,0.0,0.0,0.0,1.0,3.0,36168.89,808,-23.88080938882378,-46.64379694556689,-23.554526860546552,-46.62847072114562,02:00:00,02:15:00
1109,4,36,-23.553569645339294,-46.64049763742449,0041293,0,65.95276,1293,6,2008-03-13,1,2,1,004129301,0,65.95276,1,2,1,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1,4,0.0,0.0,0.0,3300.0,1,00412930102,0,57.21699,2,2,27,1,4,3,1,1,1300.0,56.0,36.0,332891.8,7390905.09,2.0,26.0,36.0,-23.555435214030314,-46.64083092924678,2.0,2.0,708.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,66.50164,4,4,4.0,36.0,-23.553569645339294,-46.64049763742449,73.0,36.0,-23.567683337967765,-46.64890094449421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7,7.0,2.0,2.0,15,0,0,0,0.0,2.0,1200,15,4.0,0.0,0.0,0.0,2.0,4.0,1782.99,1110,-23.553569645339294,-46.64049763742449,-23.567683337967765,-46.64890094449421,14:00:00,14:20:00
1110,4,36,-23.553569645339294,-46.64049763742449,0041293,0,65.95276,1293,6,2008-03-13,1,2,1,004129301,0,65.95276,1,2,1,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1,4,0.0,0.0,0.0,3300.0,1,00412930102,0,57.21699,2,2,27,1,4,3,1,1,1300.0,56.0,36.0,332891.8,7390905.09,2.0,26.0,36.0,-23.555435214030314,-46.64083092924678,2.0,2.0,708.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,66.50164,4,4,73.0,36.0,-23.567683337967765,-46.64890094449421,4.0,36.0,-23.553569645339294,-46.64049763742449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,8,7.0,2.0,2.0,15,0,0,0,2.0,1.0,900,15,4.0,0.0,0.0,0.0,2.0,3.0,1782.99,1111,-23.567683337967765,-46.64890094449421,-23.553569645339294,-46.64049763742449,16:00:00,16:15:00
