date,tripduration,start_station_name_old,start_station_id,starttime,end_station_name_old,end_station_id,stoptime,birth_year,age,per_day,hour,week_day,weekend,holiday,start_station_name,end_station_name,lat_start,lon_start,lat_end,lon_end,distance
2022-01-01,3196.0,171 - Praça da Liberdade,171.0,2022-01-01 10:49:40,146 - Ibirapuera portão 03,146.0,2022-01-01 11:42:56,2016-01-01 00:00:00,6.0,2022-01-01,10,5,True,False,Praça da Liberdade,Ibirapuera Portão 03,-23.55507044,-46.63565212,-23.5890430938806,-46.6527868201291,5.569
2022-01-01,12581.0,197 - Albuquerque Lins,197.0,2022-01-01 14:03:01,167 - Praça Roosevelt,167.0,2022-01-01 17:32:42,1996-01-01 00:00:00,26.0,2022-01-01,14,5,True,False,Albuquerque Lins,Praça Roosevelt,-23.5390004148871,-46.6579044578009,-23.5485777016467,-46.6471562050592,2.282
2022-01-01,1363.0,227 - R. Simão Álvares,227.0,2022-01-01 11:36:40,264 - Parque Villa Lobos Portão 2,264.0,2022-01-01 11:59:23,1980-01-01 00:00:00,42.0,2022-01-01,11,5,True,False,R. Simão Álvares,Parque Villa Lobos Portão 2,-23.5610082884253,-46.6908515920839,-23.5435015914936,-46.7256937404967,4.503
2022-01-01,2061.0,317 - R. Leonardo Nunes,317.0,2022-01-01 19:44:43,169 - Rua São Domingos,169.0,2022-01-01 20:19:04,1974-01-01 00:00:00,48.0,2022-01-01,19,5,True,False,R. Leonardo Nunes,Rua São Domingos,-23.5987326403293,-46.6391030550847,-23.552657354472,-46.6423831739113,6.152
2022-01-01,4261.0,311 - Luis Góis,311.0,2022-01-01 11:43:36,311 - Luis Góis,311.0,2022-01-01 12:54:37,1985-01-01 00:00:00,37.0,2022-01-01,11,5,True,False,Luis Góis,Luis Góis,-23.6042263595434,-46.6369958975112,-23.6042263595434,-46.6369958975112,0.0
2022-01-01,2722.0,43 - Herois da FEB,43.0,2022-01-01 17:03:32,43 - Herois da FEB,43.0,2022-01-01 17:48:54,1997-01-01 00:00:00,25.0,2022-01-01,17,5,True,False,Herois da FEB,Herois da FEB,-23.5043385999018,-46.626379384731,-23.5043385999018,-46.626379384731,0.0
2022-01-01,21490.0,345 - R. Henrique Fischer,345.0,2022-01-01 19:53:10,345 - R. Henrique Fischer,345.0,2022-01-02 01:51:20,1992-01-01 00:00:00,30.0,2022-01-01,19,5,True,False,R. Henrique Fischer,R. Henrique Fischer,-23.6194058975209,-46.6965638090644,-23.6194058975209,-46.6965638090644,0.0
2022-01-01,3912.0,311 - Luis Góis,311.0,2022-01-01 14:49:35,311 - Luis Góis,311.0,2022-01-01 15:54:47,1978-01-01 00:00:00,44.0,2022-01-01,14,5,True,False,Luis Góis,Luis Góis,-23.6042263595434,-46.6369958975112,-23.6042263595434,-46.6369958975112,0.0
2022-01-01,5648.0,320 - Av. Jandira,320.0,2022-01-01 11:51:27,130 - Afonso Braz,130.0,2022-01-01 13:25:35,1970-01-01 00:00:00,52.0,2022-01-01,11,5,True,False,Jandira,Afonso Braz,-23.60660832,-46.66336616,-23.5958920911892,-46.6641781648402,1.874
2022-01-01,3857.0,194 - jaguaribe,194.0,2022-01-01 16:23:28,167 - Praça Roosevelt,167.0,2022-01-01 17:27:45,1979-01-01 00:00:00,43.0,2022-01-01,16,5,True,False,Jaguaribe,Praça Roosevelt,-23.5415334086621,-46.6555547195509,-23.5485777016467,-46.6471562050592,1.583
