i_start,j_start,i_end,j_end,trip counts,ID_ORDEM
7,3,8,5,1710.223829,104447
7,3,10,4,362.427651,106651
7,10,7,11,835.873992,"160525,160527"
7,10,9,9,1132.46045,160699
7,11,7,10,835.873992,"160526,160528"
8,4,8,5,868.504826,104457
8,4,10,3,796.30801,"102388,102384,102394"
8,5,7,3,1710.223829,104446
8,5,8,4,868.504826,104454
8,10,9,10,572.44216,160175
9,3,10,3,244.537178,102386
9,5,10,5,132.382264,101266
9,7,9,8,519.412877,99178
9,8,9,7,1023.498524,"99179,99175"
9,9,7,10,1132.46045,160700
9,10,8,10,572.44216,160176
9,15,10,13,740.297128,152568
9,15,10,14,1545.652664,152643
10,0,11,2,268.767697,113015
10,2,12,7,848.2824720000001,108881
10,3,8,4,796.3080100000001,"102393,102383,102387"
10,3,9,3,244.537178,102385
10,3,10,3,489.074356,"102382,102381"
10,4,7,3,362.427651,106652
10,4,10,4,757.589098,"102327,102326"
10,4,13,4,20.247036,114670
10,5,9,5,132.382264,101267
10,5,14,8,206.804346,100325
10,9,10,11,380.524641,157592
10,11,10,9,380.524641,157591
10,11,10,11,1642.031168,"161443,161442"
10,11,11,10,58.624799,148384
10,11,11,13,439.438816,157887
10,13,9,15,740.297128,152567
10,13,10,13,2045.66814,"152253,152252"
10,13,11,12,110.224473,150611
10,14,9,15,1545.652664,152644
10,14,11,12,207.910447,150660
11,0,11,1,416.053521,162772
11,0,12,0,488.487492,162509
11,1,11,0,416.053521,162773
11,2,10,0,268.767697,113016
11,2,12,5,576.096942,118423
11,3,12,5,160.867774,117677
11,3,13,3,160.867774,117673
11,4,11,5,480.14569900000004,"94804,28523"
11,4,12,5,535.137803,"27987,107150"
11,4,13,4,39.621531,34207
11,4,13,5,176.151615,26741
11,4,13,6,187.869814,"28601,32021"
11,5,11,4,480.14569900000004,"28522,94803"
11,5,11,5,157.462638,"94777,94780"
11,5,11,6,66.958224,94776
11,5,12,5,444.1981609999999,"28647,28645,94963,94967,94874"
11,5,13,4,255.599233,28519
11,5,13,5,350.77071,"28526,95271"
11,6,11,5,66.958224,94775
11,6,11,7,113.771638,96321
11,7,11,6,113.771638,96322
11,7,11,9,879.9941289999997,22420
11,7,12,5,283.990582,97527
11,8,11,9,251.121363,22755
11,8,12,7,822.962724,"22980,22982"
11,9,11,7,879.9941289999997,22421
11,9,11,8,251.121363,22756
11,9,12,9,1846.718748,"89192,88960"
11,10,10,11,58.624799,148383
11,10,11,12,422.039267,150130
11,10,12,10,491.136924,87425
11,11,11,11,922.1588899999999,"150151,148684,150150,148685"
11,12,10,13,110.224473,150608
11,12,11,10,422.039267,150129
11,13,10,11,439.438816,157888
11,14,11,14,628.155262,"92196,92197"
11,18,12,16,382.376779,84476
12,0,11,0,488.487492,162508
12,0,13,2,636.2918530000002,162778
12,2,12,3,181.351088,117133
12,2,13,3,856.761155,"121447,125581"
12,3,12,2,181.351088,117132
12,3,12,3,273.670114,"114328,114329"
12,3,13,6,185.908847,"116118,114134"
12,4,12,5,115.74886200000002,27373
12,4,12,6,16.639008999999998,24222
12,4,12,7,292.2454160000001,19946
12,4,13,2,20.247036,115334
12,4,13,6,79.622434,26520
12,4,14,6,93.488666,9975
12,5,11,3,160.867774,117678
12,5,11,4,121.243974,27986
12,5,11,5,494.561085,"94968,94966,27465,94875,28646,28648"
