i,j,geometry,station id,index,Unnamed: 0,NumeroZona,NomeZona,NumeroMuni,NomeMunici,NumDistrit,NomeDistri,Area_ha_2,lat,lon
2,4,"POLYGON ((-46.6938 -23.9439, -46.6938 -23.9114, -46.7128 -23.9114, -46.7128 -23.9439, -46.6938 -23.9439))",298,298,298,299,Marsilac,36,São Paulo,52,Marsilac,20795.96,-23.935019884164525,-46.70773105547821
4,0,"POLYGON ((-46.7698 -23.8789, -46.7698 -23.8464, -46.7888 -23.8464, -46.7888 -23.8789, -46.7698 -23.8789))",472,472,472,473,Cipó,10,Embu-Guaçu,106,Embu-Guaçu,2226.59,-23.861566940443893,-46.788216807155706
4,13,"POLYGON ((-46.5228 -23.8789, -46.5228 -23.8464, -46.5418 -23.8464, -46.5418 -23.8789, -46.5228 -23.8789))",452,452,452,453,Caminho do Mar,33,São Bernardo do Campo,129,São Bernardo do Campo,28151.71,-23.849666742105388,-46.54052514187437
5,4,"POLYGON ((-46.6938 -23.8464, -46.6938 -23.8139, -46.7128 -23.8139, -46.7128 -23.8464, -46.6938 -23.8464))",297,297,297,298,Parelheiros,36,São Paulo,56,Parelheiros,11667.08,-23.84612583156012,-46.702891622579244
6,6,"POLYGON ((-46.65580000000001 -23.8139, -46.65580000000001 -23.7814, -46.6748 -23.7814, -46.6748 -23.8139, -46.65580000000001 -23.8139))",295,295,295,296,Bororé,36,São Paulo,30,Grajaú,5992.56,-23.808245200660416,-46.663368951530465
7,1,"POLYGON ((-46.75080000000001 -23.7814, -46.75080000000001 -23.7489, -46.7698 -23.7489, -46.7698 -23.7814, -46.75080000000001 -23.7814))",296,296,296,297,Jaceguava,36,São Paulo,56,Parelheiros,3512.69,-23.77666405506155,-46.760565247190314
7,4,"POLYGON ((-46.6938 -23.7814, -46.6938 -23.7489, -46.7128 -23.7489, -46.7128 -23.7814, -46.6938 -23.7814))",291,291,291,292,Vila Natal,36,São Paulo,30,Grajaú,415.09,-23.761983374123268,-46.70317395998964
7,5,"POLYGON ((-46.6748 -23.7814, -46.6748 -23.7489, -46.6938 -23.7489, -46.6938 -23.7814, -46.6748 -23.7814))",294,294,294,295,Belmira Marin,36,São Paulo,30,Grajaú,1236.83,-23.76976830603528,-46.67841590665993
7,9,"POLYGON ((-46.5988 -23.7814, -46.5988 -23.7489, -46.6178 -23.7489, -46.6178 -23.7814, -46.5988 -23.7814))",453,453,453,454,Reservatório Billings,33,São Bernardo do Campo,129,São Bernardo do Campo,4043.04,-23.75347215717972,-46.60954003874017
7,12,"POLYGON ((-46.5418 -23.7814, -46.5418 -23.7489, -46.56080000000001 -23.7489, -46.56080000000001 -23.7814, -46.5418 -23.7814))",451,451,451,452,Riacho Grande,33,São Bernardo do Campo,129,São Bernardo do Campo,3065.46,-23.762258719407395,-46.545726706101476
