ZONA_O,ZONA_D,trip counts
1,5,86.43248100000002
1,236,59.478471
2,3,331.13406399999997
2,20,211.56009699999998
2,23,41.343654
2,80,64.036073
2,90,89.242681
3,2,331.13406399999997
4,5,286.570842
4,26,93.612326
4,30,660.2955
4,34,43.146208
5,4,286.570842
5,8,120.567414
5,9,29.26663
5,27,86.43248100000002
5,35,234.073129
5,36,34.302996
5,71,301.5193490000001
5,88,199.947275
6,7,340.106426
6,9,161.546623
6,30,186.977332
6,36,649.162379
6,78,147.563342
6,164,79.292268
7,6,340.106426
7,8,93.962294
7,9,57.521304
7,13,23.950382
7,151,1132.703695
8,5,120.567414
8,37,390.515555
8,131,55.298221
9,5,29.26663
9,6,161.546623
9,7,57.521304
9,280,206.804346
10,12,39.364409
10,14,12.294279
10,39,7.434710000000001
11,17,82.57316700000003
12,10,39.364409
12,11,55.04877800000002
12,13,14.351012
12,29,88.420722
12,37,440.924664
12,164,124.527094
13,7,23.950382
13,12,14.351012
14,10,12.294279
14,17,70.19090600000001
15,41,99.452015
15,42,153.63375
16,41,98.380899
16,42,117.933058
16,220,267.153315
17,11,27.52438900000001
17,12,55.04877800000002
17,14,70.19090600000001
17,42,107.344923
17,54,35.095453000000006
18,43,433.446555
18,241,77.090777
18,253,34.457348
19,339,226.236403
20,2,211.56009699999998
21,35,159.931645
22,26,93.612326
22,49,106.819488
23,2,41.343654
23,26,81.458897
23,76,111.355168
24,62,76.056022
24,68,262.560346
25,36,285.151614
25,73,285.151614
26,4,93.612326
26,22,93.612326
26,23,81.458897
27,1,86.43248100000002
27,57,256.262226
27,78,256.262226
28,36,143.598962
28,51,125.88945
28,79,32.721625
29,12,88.420722
29,79,74.747712
29,87,48.563755
29,300,147.563342
30,4,660.2955
30,6,186.977332
30,72,93.488666
30,139,380.501735
31,32,99.063523
31,33,22.343047
31,69,186.002523
32,29,48.563755
32,31,99.063523
32,70,21.471303
32,76,20.904776
32,128,31.030915000000004
32,316,165.004071
33,32,31.030915000000004
33,339,22.343047
34,4,43.146208
34,62,55.976883
34,100,55.976883
35,5,234.073129
35,21,159.931645
36,5,34.302996
36,6,649.162379
36,25,285.151614
36,28,88.511688
36,87,48.563755
37,7,93.962294
37,8,232.298098
37,12,440.924664
37,57,225.43754
37,77,44.508981000000006
37,106,50.155866
37,133,93.962294
39,10,7.434710000000001
40,164,26.816054
41,15,99.452015
41,16,98.380899
42,15,153.63375
42,16,117.933058
42,17,107.344923
42,162,342.324366
43,18,77.45102299999998
43,44,433.446555
43,47,141.440507
43,93,58.538265
43,177,66.23555
44,18,433.446555
45,47,155.37403700000004
45,48,155.37403700000004
45,241,77.090777
45,242,257.770412
45,253,34.457348
45,255,1100.141624
46,214,434.11258
47,43,141.440507
47,45,310.7480740000001
48,47,155.37403700000004
48,56,358.72779
49,22,106.819488
49,62,26.884477
49,78,104.030268
49,238,71.885533
51,28,125.88945
53,73,292.2454160000001
53,74,168.16645400000004
54,17,35.095453000000006
54,71,53.313292
54,304,848.2824720000001
55,27,256.262226
55,80,64.036073
56,48,358.72779
56,72,255.599233
56,75,81.450183
56,77,214.670383
57,24,76.056022
57,37,225.43754
57,55,256.262226
57,62,77.991294
57,74,284.45873
57,84,73.654436
58,250,145.017124
59,60,822.962724
59,64,570.023751
59,248,251.121363
59,249,879.9941289999997
59,272,113.771638
60,59,822.962724
60,81,148.497533
61,79,298.2383
62,34,55.976883
62,49,26.884477
62,57,77.991294
62,69,38.995647
62,75,164.49937799999998
62,76,81.450183
63,65,100.676777
63,68,33.278017999999996
63,72,16.639008999999998
64,59,570.023751
64,65,167.712819
64,68,571.5336159999999
64,69,321.45045000000005
64,70,102.38391
64,71,174.204676
64,81,174.204676
64,82,276.091938
65,63,100.676777
65,64,167.712819
65,73,262.595149
65,340,31.100136
66,80,84.261764
66,211,69.2028
67,73,79.622434
67,82,79.622434
68,24,262.560346
68,63,33.278017999999996
68,64,571.5336159999999
68,69,216.47471000000002
68,70,129.967758
68,72,159.80182
68,74,142.229365
68,78,517.924097
68,80,325.682014
68,81,354.552704
68,82,129.967758
68,83,276.389721
68,300,176.151615
68,339,176.151615
68,340,35.316646
69,31,186.002523
69,62,38.995647
69,64,321.45045000000005
69,68,216.47471000000002
69,73,347.24658600000004
69,80,18.568493
69,82,101.887262
69,96,95.431133
69,97,50.574951
69,300,50.362924
70,32,21.471303
70,64,102.38391
70,68,129.967758
70,300,121.243974
71,5,301.5193490000001
71,54,53.313292
71,64,174.204676
71,72,257.340328
71,82,222.205713
71,268,133.916448
71,269,283.990582
72,30,93.488666
72,63,16.639008999999998
72,68,159.80182
72,71,257.340328
72,78,128.670164
72,81,255.599233
72,300,255.599233
73,25,285.151614
73,54,292.2454160000001
73,65,160.939891
73,67,79.622434
73,69,231.49772400000003
73,74,56.461638
73,82,139.158983
73,268,52.941385
73,321,160.867774
74,53,168.16645400000004
74,57,284.45873
74,68,142.229365
74,73,56.461638
74,79,59.19965
75,62,245.949561
76,23,111.355168
76,56,81.450183
76,319,20.904776
77,31,55.713461
77,37,44.508981000000006
77,56,214.670383
77,87,206.24354
77,95,147.971793
77,342,287.494677
78,2,89.242681
78,6,147.563342
78,27,256.262226
78,49,104.030268
78,68,104.030268
78,72,128.670164
78,300,413.893829
79,28,32.721625
79,29,74.747712
79,74,59.19965
79,88,32.721625
79,240,298.2383
79,300,59.19965
80,2,64.036073
80,55,64.036073
80,66,84.261764
80,68,325.682014
80,69,18.568493
80,83,200.476212
80,87,145.680073
80,89,69.477848
80,96,37.708902
