i_start,j_start,i_end,j_end,ZONA_O,ZONA_D,trip counts,start_lat,start_lon,end_lat,end_lon
14,8,14,7,1,5,86.43248100000002,-23.54877270632105,-46.633666806085785,-23.544327090571212,-46.64269127088459
14,7,14,7,4,5,286.570842,-23.5514537653042,-46.641528122134964,-23.544327090571212,-46.64269127088459
14,7,14,7,8,5,120.567414,-23.521864162000714,-46.64453190934671,-23.544327090571212,-46.64269127088459
14,8,14,7,9,5,29.26663,-23.52399591239259,-46.630479528844226,-23.544327090571212,-46.64269127088459
14,7,14,7,35,5,234.073129,-23.535383657983413,-46.647703580235365,-23.544327090571212,-46.64269127088459
14,6,14,7,36,5,34.302996,-23.53295448027482,-46.65642119966119,-23.544327090571212,-46.64269127088459
12,5,14,7,71,5,301.5193490000001,-23.608998167214626,-46.684815784763686,-23.544327090571212,-46.64269127088459
14,5,14,7,88,5,199.947275,-23.535200080224826,-46.680679861356325,-23.544327090571212,-46.64269127088459
14,8,12,9,1,236,59.478471,-23.54877270632105,-46.633666806085785,-23.587778679467128,-46.60244929871438
14,8,13,8,2,3,331.13406399999997,-23.54406323903391,-46.62950424993775,-23.5540157883862,-46.632338168263
14,8,13,8,2,20,211.56009699999998,-23.54406323903391,-46.62950424993775,-23.563947171986385,-46.62692861972257
14,8,13,7,2,23,41.343654,-23.54406323903391,-46.62950424993775,-23.567303113883572,-46.63877655254387
13,7,13,7,26,23,81.458897,-23.55820919385787,-46.64192461901244,-23.567303113883572,-46.63877655254387
13,6,13,7,76,23,111.355168,-23.57287771789081,-46.66776463307538,-23.567303113883572,-46.63877655254387
14,8,13,5,2,80,64.036073,-23.54406323903391,-46.62950424993775,-23.56344238628397,-46.6851348752902
12,7,13,5,55,80,64.036073,-23.589749555553123,-46.64132318378529,-23.56344238628397,-46.6851348752902
12,6,13,5,66,80,84.261764,-23.610265690771875,-46.66824895045265,-23.56344238628397,-46.6851348752902
13,5,13,5,68,80,325.682014,-23.584942244800423,-46.68001414040712,-23.56344238628397,-46.6851348752902
12,5,13,5,69,80,18.568493,-23.59200486204801,-46.67686648419709,-23.56344238628397,-46.6851348752902
13,5,13,5,83,80,200.476212,-23.554016374114113,-46.68856496706087,-23.56344238628397,-46.6851348752902
14,5,13,5,87,80,145.680073,-23.544253588094644,-46.68385889373289,-23.56344238628397,-46.6851348752902
14,5,13,5,89,80,69.477848,-23.538737669473747,-46.69332868803129,-23.56344238628397,-46.6851348752902
14,4,13,5,96,80,37.708902,-23.552516524660334,-46.70877297121415,-23.56344238628397,-46.6851348752902
13,3,13,5,339,80,37.708902,-23.562060628265066,-46.727192339050816,-23.56344238628397,-46.6851348752902
14,8,14,5,2,90,89.242681,-23.54406323903391,-46.62950424993775,-23.52989313189888,-46.687119051769116
14,5,14,5,88,90,105.09919,-23.535200080224826,-46.680679861356325,-23.52989313189888,-46.687119051769116
14,4,14,5,100,90,274.495562,-23.523556500763288,-46.69945105976384,-23.52989313189888,-46.687119051769116
13,9,14,5,240,90,274.495562,-23.57731006994175,-46.60976525510742,-23.52989313189888,-46.687119051769116
13,8,14,8,3,2,331.13406399999997,-23.5540157883862,-46.632338168263,-23.54406323903391,-46.62950424993775
13,8,14,8,20,2,211.56009699999998,-23.563947171986385,-46.62692861972257,-23.54406323903391,-46.62950424993775
13,7,14,8,23,2,41.343654,-23.567303113883572,-46.63877655254387,-23.54406323903391,-46.62950424993775
13,6,14,8,78,2,89.242681,-23.563904292619352,-46.6664477143691,-23.54406323903391,-46.62950424993775
13,5,14,8,80,2,64.036073,-23.56344238628397,-46.6851348752902,-23.54406323903391,-46.62950424993775
14,7,13,7,4,26,93.612326,-23.5514537653042,-46.641528122134964,-23.55820919385787,-46.64192461901244
13,8,13,7,22,26,93.612326,-23.567513682499246,-46.63514344986554,-23.55820919385787,-46.64192461901244
13,7,13,7,23,26,81.458897,-23.567303113883572,-46.63877655254387,-23.55820919385787,-46.64192461901244
14,7,14,6,4,30,660.2955,-23.5514537653042,-46.641528122134964,-23.54525797281215,-46.656141582777
14,7,14,6,6,30,186.977332,-23.53899672605772,-46.638357897552716,-23.54525797281215,-46.656141582777
11,5,14,6,72,30,93.488666,-23.619401410613907,-46.691971149226745,-23.54525797281215,-46.656141582777
15,5,14,6,139,30,380.501735,-23.49340443157553,-46.680177012182,-23.54525797281215,-46.656141582777
14,7,14,6,4,34,43.146208,-23.5514537653042,-46.641528122134964,-23.544309454281386,-46.662478008873606
13,6,14,6,62,34,55.976883,-23.584504787517663,-46.656159698434905,-23.544309454281386,-46.662478008873606
14,4,14,6,100,34,55.976883,-23.523556500763288,-46.69945105976384,-23.544309454281386,-46.662478008873606
14,7,14,7,5,4,286.570842,-23.544327090571212,-46.64269127088459,-23.5514537653042,-46.641528122134964
13,7,14,7,26,4,93.612326,-23.55820919385787,-46.64192461901244,-23.5514537653042,-46.641528122134964
14,6,14,7,30,4,660.2955,-23.54525797281215,-46.656141582777,-23.5514537653042,-46.641528122134964
14,6,14,7,34,4,43.146208,-23.544309454281386,-46.662478008873606,-23.5514537653042,-46.641528122134964
14,7,14,7,5,8,120.567414,-23.544327090571212,-46.64269127088459,-23.521864162000714,-46.64453190934671
14,8,14,7,7,8,93.962294,-23.5312742368102,-46.634353780617246,-23.521864162000714,-46.64453190934671
14,7,14,7,37,8,232.298098,-23.52372436888297,-46.65416695241702,-23.521864162000714,-46.64453190934671
15,8,14,7,131,8,55.298221,-23.5155596279124,-46.62451900705316,-23.521864162000714,-46.64453190934671
14,7,14,8,5,9,29.26663,-23.544327090571212,-46.64269127088459,-23.52399591239259,-46.630479528844226
14,7,14,8,6,9,161.546623,-23.53899672605772,-46.638357897552716,-23.52399591239259,-46.630479528844226
14,8,14,8,7,9,57.521304,-23.5312742368102,-46.634353780617246,-23.52399591239259,-46.630479528844226
10,4,14,8,280,9,206.804346,-23.67093595082273,-46.6966029298312,-23.52399591239259,-46.630479528844226
14,7,13,7,5,27,86.43248100000002,-23.544327090571212,-46.64269127088459,-23.565480303659893,-46.64440855782503
12,7,13,7,55,27,256.262226,-23.589749555553123,-46.64132318378529,-23.565480303659893,-46.64440855782503
13,6,13,7,78,27,256.262226,-23.563904292619352,-46.6664477143691,-23.565480303659893,-46.64440855782503
14,7,14,7,5,35,234.073129,-23.544327090571212,-46.64269127088459,-23.535383657983413,-46.647703580235365
13,8,14,7,21,35,159.931645,-23.572874708765703,-46.63041172477328,-23.535383657983413,-46.647703580235365
14,7,14,6,5,36,34.302996,-23.544327090571212,-46.64269127088459,-23.53295448027482,-46.65642119966119
14,7,14,6,6,36,649.162379,-23.53899672605772,-46.638357897552716,-23.53295448027482,-46.65642119966119
13,7,14,6,25,36,285.151614,-23.555086560607986,-46.64793314751026,-23.53295448027482,-46.65642119966119
13,7,14,6,28,36,143.598962,-23.56286577861535,-46.650203911501954,-23.53295448027482,-46.65642119966119
14,5,14,6,87,36,48.563755,-23.544253588094644,-46.68385889373289,-23.53295448027482,-46.65642119966119
14,7,12,5,5,71,301.5193490000001,-23.544327090571212,-46.64269127088459,-23.608998167214626,-46.684815784763686
12,7,12,5,54,71,53.313292,-23.59641138099968,-46.64322589294111,-23.608998167214626,-46.684815784763686
12,6,12,5,64,71,174.204676,-23.60567309813458,-46.65883680535961,-23.608998167214626,-46.684815784763686
11,5,12,5,72,71,257.340328,-23.619401410613907,-46.691971149226745,-23.608998167214626,-46.684815784763686
13,4,12,5,82,71,222.205713,-23.56712486114036,-46.69634169814336,-23.608998167214626,-46.684815784763686
11,5,12,5,268,71,133.916448,-23.63035835379099,-46.67768233205555,-23.608998167214626,-46.684815784763686
11,6,12,5,269,71,283.990582,-23.623440476663603,-46.67260153016355,-23.608998167214626,-46.684815784763686
14,7,14,5,5,88,199.947275,-23.544327090571212,-46.64269127088459,-23.535200080224826,-46.680679861356325
13,6,14,5,79,88,32.721625,-23.56021185850087,-46.66145170680025,-23.535200080224826,-46.680679861356325
14,5,14,5,90,88,105.09919,-23.52989313189888,-46.687119051769116,-23.535200080224826,-46.680679861356325
14,7,14,8,6,7,340.106426,-23.53899672605772,-46.638357897552716,-23.5312742368102,-46.634353780617246
14,8,14,8,9,7,57.521304,-23.52399591239259,-46.630479528844226,-23.5312742368102,-46.634353780617246
14,8,14,8,13,7,23.950382,-23.537396335830746,-46.62127737486644,-23.5312742368102,-46.634353780617246
14,7,14,8,37,7,93.962294,-23.52372436888297,-46.65416695241702,-23.5312742368102,-46.634353780617246
