i,j,geometry
0,0,"POLYGON ((-46.7698 -24.0089, -46.7698 -23.9764, -46.7888 -23.9764, -46.7888 -24.0089, -46.7698 -24.0089))"
0,1,"POLYGON ((-46.75080000000001 -24.0089, -46.75080000000001 -23.9764, -46.7698 -23.9764, -46.7698 -24.0089, -46.75080000000001 -24.0089))"
0,2,"POLYGON ((-46.7318 -24.0089, -46.7318 -23.9764, -46.75080000000001 -23.9764, -46.75080000000001 -24.0089, -46.7318 -24.0089))"
0,3,"POLYGON ((-46.7128 -24.0089, -46.7128 -23.9764, -46.7318 -23.9764, -46.7318 -24.0089, -46.7128 -24.0089))"
0,4,"POLYGON ((-46.6938 -24.0089, -46.6938 -23.9764, -46.7128 -23.9764, -46.7128 -24.0089, -46.6938 -24.0089))"
0,5,"POLYGON ((-46.6748 -24.0089, -46.6748 -23.9764, -46.6938 -23.9764, -46.6938 -24.0089, -46.6748 -24.0089))"
0,6,"POLYGON ((-46.65580000000001 -24.0089, -46.65580000000001 -23.9764, -46.6748 -23.9764, -46.6748 -24.0089, -46.65580000000001 -24.0089))"
0,7,"POLYGON ((-46.6368 -24.0089, -46.6368 -23.9764, -46.65580000000001 -23.9764, -46.65580000000001 -24.0089, -46.6368 -24.0089))"
0,8,"POLYGON ((-46.6178 -24.0089, -46.6178 -23.9764, -46.6368 -23.9764, -46.6368 -24.0089, -46.6178 -24.0089))"
0,9,"POLYGON ((-46.5988 -24.0089, -46.5988 -23.9764, -46.6178 -23.9764, -46.6178 -24.0089, -46.5988 -24.0089))"
0,10,"POLYGON ((-46.57980000000001 -24.0089, -46.57980000000001 -23.9764, -46.5988 -23.9764, -46.5988 -24.0089, -46.57980000000001 -24.0089))"
0,11,"POLYGON ((-46.56080000000001 -24.0089, -46.56080000000001 -23.9764, -46.57980000000001 -23.9764, -46.57980000000001 -24.0089, -46.56080000000001 -24.0089))"
0,12,"POLYGON ((-46.5418 -24.0089, -46.5418 -23.9764, -46.56080000000001 -23.9764, -46.56080000000001 -24.0089, -46.5418 -24.0089))"
0,13,"POLYGON ((-46.5228 -24.0089, -46.5228 -23.9764, -46.5418 -23.9764, -46.5418 -24.0089, -46.5228 -24.0089))"
0,14,"POLYGON ((-46.50380000000001 -24.0089, -46.50380000000001 -23.9764, -46.5228 -23.9764, -46.5228 -24.0089, -46.50380000000001 -24.0089))"
0,15,"POLYGON ((-46.48480000000001 -24.0089, -46.48480000000001 -23.9764, -46.50380000000001 -23.9764, -46.50380000000001 -24.0089, -46.48480000000001 -24.0089))"
0,16,"POLYGON ((-46.46580000000001 -24.0089, -46.46580000000001 -23.9764, -46.48480000000001 -23.9764, -46.48480000000001 -24.0089, -46.46580000000001 -24.0089))"
0,17,"POLYGON ((-46.4468 -24.0089, -46.4468 -23.9764, -46.46580000000001 -23.9764, -46.46580000000001 -24.0089, -46.4468 -24.0089))"
0,18,"POLYGON ((-46.4278 -24.0089, -46.4278 -23.9764, -46.4468 -23.9764, -46.4468 -24.0089, -46.4278 -24.0089))"
