index,Unnamed: 0,NumeroZona,NomeZona,NumeroMuni,NomeMunici,NumDistrit,NomeDistri,Area_ha_2,geometry,lat,lon
0,0,1,Sé,36,São Paulo,80,Sé,57.1,POINT (-46.63366680608578 -23.54877270632105),-23.54877270632105,-46.633666806085785
1,1,2,Parque Dom Pedro,36,São Paulo,80,Sé,113.64,POINT (-46.62950424993775 -23.54406323903391),-23.54406323903391,-46.62950424993775
2,2,3,Praça João Mendes,36,São Paulo,80,Sé,47.75,POINT (-46.632338168263 -23.5540157883862),-23.5540157883862,-46.632338168263
3,3,4,Ladeira da Memória,36,São Paulo,67,República,75.11,POINT (-46.64152812213496 -23.5514537653042),-23.5514537653042,-46.641528122134964
4,4,5,República,36,São Paulo,67,República,74.95,POINT (-46.64269127088459 -23.54432709057121),-23.544327090571212,-46.64269127088459
5,5,6,Santa Ifigênia,36,São Paulo,67,República,82.93,POINT (-46.63835789755272 -23.53899672605772),-23.53899672605772,-46.638357897552716
6,6,7,Luz,36,São Paulo,9,Bom Retiro,154.6,POINT (-46.63435378061725 -23.5312742368102),-23.5312742368102,-46.634353780617246
7,7,8,Bom Retiro,36,São Paulo,9,Bom Retiro,143.01,POINT (-46.64453190934671 -23.52186416200071),-23.521864162000714,-46.64453190934671
8,8,9,Ponte Pequena,36,São Paulo,9,Bom Retiro,129.78,POINT (-46.63047952884423 -23.52399591239259),-23.52399591239259,-46.630479528844226
9,9,10,Canindé,36,São Paulo,57,Pari,82.61,POINT (-46.62104013150289 -23.52314851560299),-23.52314851560299,-46.621040131502895
10,10,11,Bom Jardim,36,São Paulo,57,Pari,49.85,POINT (-46.61078269173937 -23.52476570049535),-23.52476570049535,-46.61078269173937
11,11,12,Pari,36,São Paulo,57,Pari,140.16,POINT (-46.61716293061853 -23.53026998479985),-23.53026998479985,-46.61716293061853
12,12,13,João Teodoro,36,São Paulo,10,Brás,39.32,POINT (-46.62127737486644 -23.53739633583075),-23.537396335830746,-46.62127737486644
13,13,14,Oriente,36,São Paulo,10,Brás,69.88,POINT (-46.61382628096656 -23.53801618939185),-23.53801618939185,-46.613826280966556
14,14,15,Bresser,36,São Paulo,10,Brás,76.98,POINT (-46.61098832032493 -23.54380422927701),-23.54380422927701,-46.61098832032493
15,15,16,Brás,36,São Paulo,10,Brás,109.08,POINT (-46.61857302192611 -23.54992606748357),-23.549926067483568,-46.61857302192611
16,16,17,Gasômetro,36,São Paulo,10,Brás,69.35,POINT (-46.62328832242004 -23.54250111474139),-23.54250111474139,-46.62328832242004
17,17,18,Independência,36,São Paulo,14,Cambuci,253.75,POINT (-46.61512101984746 -23.56042944094143),-23.56042944094143,-46.61512101984746
18,18,19,Cambuci,36,São Paulo,14,Cambuci,140.43,POINT (-46.61942866488742 -23.57113794125981),-23.57113794125981,-46.619428664887415
19,19,20,Glicério,36,São Paulo,49,Liberdade,108.02,POINT (-46.62692861972257 -23.56394717198638),-23.563947171986385,-46.62692861972257
20,20,21,Aclimação,36,São Paulo,49,Liberdade,113.62,POINT (-46.63041172477328 -23.5728747087657),-23.572874708765703,-46.63041172477328
21,21,22,Pires da Mota,36,São Paulo,49,Liberdade,50.03,POINT (-46.63514344986554 -23.56751368249925),-23.567513682499246,-46.63514344986554
22,22,23,Centro Cultural,36,São Paulo,49,Liberdade,33.24,POINT (-46.63877655254387 -23.56730311388357),-23.567303113883572,-46.63877655254387
23,23,24,Liberdade,36,São Paulo,49,Liberdade,59.49,POINT (-46.63502927173764 -23.55971145863747),-23.559711458637466,-46.63502927173764
24,24,25,Treze de Maio,36,São Paulo,7,Bela Vista,42.85,POINT (-46.64793314751026 -23.55508656060799),-23.555086560607986,-46.64793314751026
25,25,26,Bexiga,36,São Paulo,7,Bela Vista,51.76,POINT (-46.64192461901244 -23.55820919385787),-23.55820919385787,-46.64192461901244
26,26,27,Bela Vista,36,São Paulo,7,Bela Vista,93.8,POINT (-46.64440855782503 -23.56548030365989),-23.565480303659893,-46.64440855782503
27,27,28,São Carlos do Pinhal,36,São Paulo,7,Bela Vista,31.03,POINT (-46.65020391150195 -23.56286577861535),-23.56286577861535,-46.650203911501954
28,28,29,Masp,36,São Paulo,7,Bela Vista,57.27,POINT (-46.65383723148874 -23.55827919897125),-23.55827919897125,-46.653837231488744
29,29,30,Higienópolis,36,São Paulo,26,Consolação,67.81,POINT (-46.656141582777 -23.54525797281215),-23.54525797281215,-46.656141582777
30,30,31,Vila Buarque,36,São Paulo,26,Consolação,89.58,POINT (-46.65155514406312 -23.54863576617937),-23.54863576617937,-46.65155514406312
31,31,32,Consolação,36,São Paulo,26,Consolação,57.23,POINT (-46.66005010912124 -23.55447597420116),-23.55447597420116,-46.660050109121244
32,32,33,Pacaembu,36,São Paulo,26,Consolação,90.45,POINT (-46.66847398408605 -23.55060971121055),-23.55060971121055,-46.66847398408605
33,33,34,FAAP,36,São Paulo,26,Consolação,74.45,POINT (-46.66247800887361 -23.54430945428139),-23.544309454281386,-46.662478008873606
34,34,35,Santa Cecília,36,São Paulo,70,Santa Cecília,144.09,POINT (-46.64770358023537 -23.53538365798341),-23.535383657983413,-46.647703580235365
35,35,36,Marechal Deodoro,36,São Paulo,70,Santa Cecília,142.2,POINT (-46.65642119966119 -23.53295448027482),-23.53295448027482,-46.65642119966119
36,36,37,Rudge,36,São Paulo,70,Santa Cecília,84.73,POINT (-46.65416695241702 -23.52372436888297),-23.52372436888297,-46.65416695241702
37,37,38,Catumbi,36,São Paulo,8,Belém,81.44,POINT (-46.60374307289203 -23.52857848143763),-23.528578481437634,-46.60374307289203
38,38,39,Belém,36,São Paulo,8,Belém,160.71,POINT (-46.5927924280908 -23.53257787931025),-23.53257787931025,-46.5927924280908
39,39,40,Quarta Parada,36,São Paulo,8,Belém,127.4,POINT (-46.5849742896901 -23.54656893781577),-23.546568937815767,-46.5849742896901
40,40,41,Belenzinho,36,São Paulo,8,Belém,180.11,POINT (-46.59449505474887 -23.54039335994764),-23.54039335994764,-46.59449505474887
